ปี,เทอม,ระบบ,สถานที่จัดการเรียน,คณะ,สาขา,หลักสูตร,รหัสวิชา,ชื่อวิชา,ตอนเรียน,แผ่นที่,ระดับ,จำนวน
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,เลขานุการทางการแพทย์,บริหารธุรกิจบัณฑิต,3512602-01,การอ่านภาษาอังกฤษสำหรับเลขานุการ,A1,724,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,เลขานุการทางการแพทย์,บริหารธุรกิจบัณฑิต,3512602-01,การอ่านภาษาอังกฤษสำหรับเลขานุการ,A1,725,ปริญญาตรี,17
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,เลขานุการทางการแพทย์,บริหารธุรกิจบัณฑิต,3513503-01,การจัดการการตลาดโรงพยาบาล,A1,726,ปริญญาตรี,16
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,เลขานุการทางการแพทย์,บริหารธุรกิจบัณฑิต,3513505-01,กฎหมายและจริยธรรมทางการแพทย์,A1,727,ปริญญาตรี,16
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,เลขานุการทางการแพทย์,บริหารธุรกิจบัณฑิต,3513603-01,ระบบสารสนเทศในโรงพยาบาล,A1,728,ปริญญาตรี,16
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,เลขานุการทางการแพทย์,บริหารธุรกิจบัณฑิต,3514501-01,ศัพท์สามัญทางการแพทย์,A1,729,ปริญญาตรี,16
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,เลขานุการทางการแพทย์,บริหารธุรกิจบัณฑิต,3514801-01,การฝึกประสบการณ์วิชาชีพเลขานุการทางการแพทย์,A1,730,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,เลขานุการทางการแพทย์,บริหารธุรกิจบัณฑิต,3514801-01,การฝึกประสบการณ์วิชาชีพเลขานุการทางการแพทย์,A1,731,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,เลขานุการทางการแพทย์,บริหารธุรกิจบัณฑิต,3514801-01,การฝึกประสบการณ์วิชาชีพเลขานุการทางการแพทย์,A1,732,ปริญญาตรี,3
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,การบริการลูกค้า,บริหารธุรกิจบัณฑิต,3561104-01,สติและการจัดการความเครียด,A1,733,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,การบริการลูกค้า,บริหารธุรกิจบัณฑิต,3561104-01,สติและการจัดการความเครียด,A1,734,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,การบริการลูกค้า,บริหารธุรกิจบัณฑิต,3561104-01,สติและการจัดการความเครียด,A1,735,ปริญญาตรี,2
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,การบริการลูกค้า,บริหารธุรกิจบัณฑิต,3563208-01,การสื่อสารภาษาอังกฤษเพื่อการตอบโต้ทางธุรกิจ,A1,736,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,การบริการลูกค้า,บริหารธุรกิจบัณฑิต,3563208-01,การสื่อสารภาษาอังกฤษเพื่อการตอบโต้ทางธุรกิจ,A1,737,ปริญญาตรี,6
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,การท่องเที่ยว,ศิลปศาสตรบัณฑิต,3571108-01,จิตวิทยาในอุตสาหกรรมบริการ,B1,738,ปริญญาตรี,1
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการโรงแรม,ศิลปศาสตรบัณฑิต,3571108-02,จิตวิทยาในอุตสาหกรรมบริการ,A1,739,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการโรงแรม,ศิลปศาสตรบัณฑิต,3571108-02,จิตวิทยาในอุตสาหกรรมบริการ,A1,740,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการโรงแรม,ศิลปศาสตรบัณฑิต,3571108-02,จิตวิทยาในอุตสาหกรรมบริการ,A1,741,ปริญญาตรี,12
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,3571110-01,บริบทการจัดการเพื่ออุตสาหกรรมบริการ,A1,742,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,3571110-01,บริบทการจัดการเพื่ออุตสาหกรรมบริการ,B1,744,ปริญญาตรี,22
